MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,RoomsPerBedroom,PopPerHousehold,Prix_Reel,Prix_Predit,Residu,Erreur_Pct
3.1621,6.0,3.939516129032258,1.0766129032258065,1584.0,3.193548387096774,34.09,-117.96,3.6591760299625467,496.0,1.31,1.579415114398948,-0.26941511439894805,20.56603926709527
1.3417,40.0,4.65979381443299,1.1237113402061856,412.0,4.247422680412371,37.94,-121.3,4.146788990825688,97.0,0.608,0.6478145124430128,-0.03981451244301282,6.5484395465481615
3.93,52.0,4.781578947368421,1.181578947368421,948.0,2.4947368421052634,37.76,-122.46,4.046770601336303,379.99999999999994,3.9,2.8891619928833734,1.0108380071166265,25.918923259400678
7.7201,21.0,7.75375,0.9975,2494.0,3.1175,37.22,-121.85,7.773182957393484,800.0,3.627,3.526001969310535,0.10099803068946489,2.7846162307544775
2.3125,38.0,3.3943661971830985,1.0766823161189358,3036.0,4.751173708920188,33.94,-118.36,3.1526162790697674,639.0,1.485,1.403930190664454,0.0810698093355462,5.4592464199021
2.5875,52.0,3.2874493927125505,1.0202429149797572,629.0,2.5465587044534415,37.8,-122.41,3.222222222222222,246.99999999999997,5.00001,2.312619663278852,2.6873903367211476,53.747699239024485
3.2369,17.0,4.465677179962894,1.0120593692022264,3013.0,2.7949907235621523,32.95,-117.05,4.412465627864344,1078.0,1.678,1.9022892116148569,-0.22428921161485693,13.366460763698267
3.662,8.0,6.619926199261992,1.018450184501845,690.0,2.5461254612546127,34.48,-117.27,6.5,271.0,1.653,1.109434269094784,0.543565730905216,32.88358928646195
5.0275,36.0,5.469387755102041,0.9846938775510204,639.0,3.260204081632653,33.83,-117.92,5.5544041450777195,196.0,1.793,2.513758771319992,-0.7207587713199921,40.19848138984898
6.4631,32.0,6.091476091476092,1.0,1336.0,2.7775467775467777,37.29,-121.99,6.091476091476092,481.0,3.441,3.421436445075443,0.019563554924556747,0.5685427179470139
3.215,19.0,4.837931034482758,0.9517241379310345,901.0,3.106896551724138,38.26,-121.3,5.083333333333333,290.0,1.046,1.1832989480056213,-0.13729894800562126,13.126094455604326
4.2054,23.0,5.321100917431193,1.073394495412844,320.0,2.9357798165137616,40.67,-124.14,4.957264957264957,109.0,1.306,1.904274295733451,-0.598274295733451,45.80967042369456
3.6989,32.0,5.192037470725995,0.9882903981264637,1064.0,2.4918032786885247,34.25,-118.46,5.253554502369668,427.0,2.086,2.1831814675025356,-0.09718146750253576,4.658747243649844
3.25,16.0,4.935483870967742,1.060931899641577,830.0,2.974910394265233,39.37,-123.75,4.652027027027027,279.0,1.514,1.8352256338764334,-0.32122563387643344,21.217016768588735
2.6908,24.0,5.855203619909502,1.004524886877828,684.0,3.0950226244343892,37.37,-120.88,5.828828828828828,221.0,1.031,1.1121468302582471,-0.0811468302582472,7.870691586638914
4.1652,4.0,4.0325,1.0475,1666.0,2.0825,33.68,-117.83,3.849642004773269,800.0,1.845,2.4627974134141013,-0.6177974134141013,33.48495465659086
4.3585,34.0,5.768976897689769,0.9372937293729373,783.0,2.5841584158415842,38.27,-122.31,6.154929577464789,303.0,1.944,2.231312074102597,-0.28731207410259696,14.779427680174742
4.46,22.0,5.947890818858561,0.9925558312655087,1347.0,3.3424317617866004,33.83,-117.52,5.9925,403.0,1.898,1.8752070735293174,0.02279292647068254,1.2008918056207871
3.0526,24.0,4.5283950617283955,1.0987654320987654,3151.0,3.8901234567901235,34.29,-118.46,4.121348314606742,810.0,1.833,1.5885270558952769,0.2444729441047231,13.337312826226027
4.498,34.0,4.756267409470752,1.084958217270195,1275.0,1.775766016713092,33.6,-117.87,4.38382541720154,718.0,4.829,2.994943404346458,1.834056595653542,37.98004960972338
2.8547,25.0,4.107544141252006,1.0497592295345104,1674.0,2.6869983948635636,34.13,-117.88,3.9128440366972477,623.0,1.556,1.718688752574053,-0.16268875257405302,10.455575358229629
5.4663,36.0,5.39647577092511,0.9383259911894273,591.0,2.60352422907489,33.99,-118.4,5.751173708920188,227.0,3.267,2.94242432533256,0.32457567466744,9.934976267751454
4.2917,5.0,4.890982503364738,0.9663526244952894,1317.0,1.7725437415881562,34.19,-119.0,5.061281337047354,743.0,2.279,2.703730758652185,-0.4247307586521849,18.636716044413554
1.875,16.0,4.436647173489279,1.1578947368421053,1184.0,2.3079922027290447,32.8,-115.57,3.8316498316498313,513.0,0.938,0.893309640387784,0.0446903596122159,4.764430662283146
5.0635,16.0,6.573816155988858,0.9888579387186629,1034.0,2.8802228412256268,36.83,-119.77,6.647887323943663,359.0,1.085,1.7760242160055313,-0.6910242160055313,63.68886783461119
2.319,21.0,3.5901639344262297,1.0245901639344261,1505.0,4.112021857923497,34.02,-118.27,3.5040000000000004,366.0,0.972,1.3154718813803896,-0.34347188138038964,35.33661331073968
4.7375,32.0,5.553030303030303,1.1085858585858586,1799.0,2.2714646464646466,37.43,-122.13,5.009111617312072,791.9999999999999,4.319,3.040743034525974,1.278256965474026,29.59613256480727
3.2383,18.0,4.4557926829268295,1.021341463414634,1751.0,2.669207317073171,34.11,-117.88,4.36268656716418,656.0,1.57,1.7645934051866234,-0.19459340518662338,12.394484406791298
2.101,51.0,5.311111111111111,1.0888888888888888,662.0,3.6777777777777776,36.73,-119.81,4.877551020408164,180.0,0.567,0.9943819753641847,-0.42738197536418476,75.37600976440649
6.1388,30.0,5.93026941362916,1.0031695721077654,1721.0,2.7274167987321714,37.33,-121.98,5.911532385466035,631.0,3.024,3.296621594756651,-0.27262159475665104,9.01526437687338
4.4828,26.0,4.9904761904761905,1.0095238095238095,1282.0,2.441904761904762,33.88,-118.37,4.943396226415095,525.0,3.407,2.6596943827141644,0.7473056172858357,21.934417883352967
3.0893,22.0,3.859300476947536,1.0731319554848966,2519.0,2.0023847376788555,34.2,-118.46,3.5962962962962965,1258.0,2.056,2.420075368439953,-0.3640753684399529,17.707945935795376
6.2551,37.0,6.348623853211009,1.0152905198776758,771.0,2.3577981651376145,33.95,-118.44,6.253012048192772,327.0,5.00001,3.363101749411527,1.6369082505884727,32.738099535570385
2.325,35.0,6.908355795148248,1.4285714285714286,861.0,2.3207547169811322,36.94,-118.31,4.835849056603774,371.0,0.806,0.6101839102712461,0.19581608972875397,24.294800214485605
2.0819,10.0,3.9105839416058394,1.082116788321168,1167.0,2.1295620437956204,34.65,-120.46,3.6138279932546373,548.0,1.033,2.2580787079475684,-1.2250787079475685,118.59426020789627
4.0873,18.0,5.452781371280724,1.0478654592496766,2104.0,2.721862871927555,32.84,-116.9,5.203703703703703,773.0,1.469,2.154759324433236,-0.6857593244332361,46.682050676190336
4.4107,22.0,4.1257861635220126,1.1735849056603773,1842.0,2.3169811320754716,37.39,-122.03,3.5155412647374065,795.0,2.327,2.946886139186475,-0.619886139186475,26.63885428390524
5.2261,36.0,6.065217391304348,1.013586956521739,951.0,2.5842391304347827,34.28,-119.25,5.983914209115282,368.0,3.032,3.088754196822805,-0.056754196822804914,1.871840264604384
5.2533,40.0,4.07488986784141,1.118942731277533,371.0,1.6343612334801763,33.88,-118.41,3.641732283464567,227.0,5.00001,3.475764476655307,1.5242455233446925,30.484849497194862
4.76,14.0,6.096666666666667,1.02,1951.0,3.2516666666666665,36.83,-121.37,5.977124183006536,600.0,2.16,2.312539974061643,-0.15253997406164288,7.062035836187169
1.3333,30.0,8.571428571428571,2.1587301587301586,122.0,1.9365079365079365,34.22,-115.52,3.9705882352941178,63.0,0.425,0.2890827619906915,0.1359172380093085,31.98052659042553
1.975,24.0,4.032418952618454,0.912718204488778,1416.0,3.5311720698254363,32.97,-115.52,4.418032786885246,401.0,0.664,0.4863567537241025,0.17764324627589756,26.753500945165293
3.8644,47.0,5.336898395721925,0.9679144385026738,1651.0,2.942959001782531,34.07,-118.16,5.513812154696133,561.0,2.415,2.2278633820779987,0.1871366179220013,7.748928278343739
5.1771,17.0,6.495180722891567,1.0674698795180724,2732.0,3.291566265060241,33.18,-117.03,6.084650112866817,830.0,2.128,2.2461025532452368,-0.11810255324523666,5.5499320134039785
4.2538,13.0,5.133645955451348,1.022274325908558,2560.0,3.0011723329425557,34.26,-118.4,5.021788990825688,853.0,1.543,2.1418737441954008,-0.5988737441954008,38.812297096267066
4.0185,22.0,4.910979228486647,1.0207715133531157,1807.0,2.6810089020771515,33.83,-117.97,4.811046511627907,674.0,2.009,2.244366929326162,-0.2353669293261622,11.715626148639235
5.2081,27.0,5.806779661016949,0.9559322033898305,761.0,2.5796610169491525,38.66,-121.31,6.074468085106383,295.0,1.364,1.966392504866647,-0.602392504866647,44.16367337732016
4.2708,24.0,4.882943143812709,1.0050167224080269,1460.0,2.4414715719063547,34.31,-118.46,4.858569051580699,598.0,2.182,2.4273188487350055,-0.24531884873500553,11.242843663382471
